id.resp_p,proto,duration,orig_bytes,resp_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,malware status
udp,dhcp,345,300,SF,1,373,1,328,Benign
udp,dns,39,103,SF,1,67,1,131,Benign
udp,dns,39,94,SF,1,67,1,122,Benign
udp,dns,39,39,SF,1,67,1,67,Benign
udp,dns,39,151,SF,1,67,1,179,Benign
udp,dns,78,197,SF,2,134,2,253,Benign
udp,dns,78,0,S0,2,134,0,0,Benign
udp,dns,78,103,SF,2,134,1,131,Benign
udp,dns,156,0,S0,4,268,0,0,Benign
udp,dns,156,206,SF,4,268,2,262,Benign
tcp,http,149,128252,SF,94,5525,96,139044,Benign
tcp,http,151,128348,SF,96,5699,92,133140,Benign
tcp,http,148,91961,SF,67,4148,65,92453,Benign
tcp,http,148,99303,SF,75,4412,69,97107,Benign
tcp,http,151,164266,SF,114,6607,117,168910,Benign
tcp,http,151,124067,SF,93,5571,92,131755,Benign
tcp,http,149,84592,SF,62,3689,60,84824,Benign
tcp,http,152,100178,SF,73,4696,71,100982,Benign
tcp,http,149,83792,SF,67,4033,61,85524,Benign
tcp,http,149,103381,SF,75,4309,72,101341,Benign
tcp,http,150,110211,SF,82,4802,81,114431,Benign
tcp,http,151,112443,SF,78,4395,78,110715,Benign
tcp,irc,75,243,S3,9,567,6,563,Malicious
tcp,irc,60,124,RSTR,5,340,4,328,Malicious
tcp,irc,75,243,S3,8,507,7,615,Malicious
tcp,irc,75,243,S3,8,507,7,615,Malicious
tcp,irc,75,243,S3,7,447,6,563,Malicious
tcp,irc,75,243,S3,8,507,7,615,Malicious
tcp,irc,75,243,S3,7,447,6,563,Malicious
tcp,irc,75,243,S3,8,507,6,563,Malicious
tcp,irc,74,242,S3,7,446,6,562,Malicious
tcp,irc,75,243,S3,7,447,6,563,Malicious
tcp,irc,75,243,S3,9,567,7,615,Malicious
tcp,irc,75,243,S3,10,679,6,563,Malicious
tcp,irc,75,243,S3,8,511,6,563,Malicious
tcp,irc,75,243,S3,9,567,6,563,Malicious
tcp,irc,75,243,S3,7,447,6,563,Malicious
tcp,irc,13115,18031,RSTR,606,45630,1070,74159,Malicious
tcp,irc,62,195,S1,11,798,6,657,Malicious
tcp,irc,595,4324,RSTR,56,3904,52,7127,Malicious
tcp,irc,62,198,RSTR,23,2216,6,506,Malicious
tcp,irc,62,0,S1,14,1480,1,60,Malicious
tcp,irc,62,133,S1,9,690,4,494,Malicious
tcp,irc,3445,7313,S1,159,11778,285,22240,Malicious
tcp,-,0,0,S0,3,180,0,0,Malicious
